start,end,word,count,trend_slope
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,oma,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,sneeuwpopje,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,winters,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,zin,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,drachtstervaart,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,kant,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,dech,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,schatje,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,ブログ更新,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,lagu,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,dushi's,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,weertje,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,laite,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,tosti,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,gister,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,aanrijding,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,Positioning,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,Tis,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,beek,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,vraag,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,vlw,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,sleeeenn,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,bedd,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,spekjes,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,gaan,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,make-up,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,girls_run,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,@rienkvdv,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,stage,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,stad,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,:-p,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,contract,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,@Meikeexxx,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,plek,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,Vacaturemogelijkheid,1,7.525895099859597E-10
2012-02-02T01:00:00.000+01:00,2012-02-09T01:00:00.000+01:00,イベント楽しみにしてます,1,7.525895099859597E-10
